MAL,undefined0,45,0,1.844,8.4,0.000,15000,5419,4,38.737166652958, 6.83  <br>2.33/2.5/2,0,216,113.421262,833.971,
OIR,Khagan VA?ter,287,72.323974892136,19.714,43.2156,0.040,56000,14044.312,64,70.33638443812, 11.44  <br>3.67/3.56/4.22,500,370,117.676675,349.760,
BRA,undefined1,98,45.975149820952,12.029,14.54,2.400,17000,7008.961,11,60.167190858731, 8.88  <br>3/3.13/2.75,1200,435,135.9811,99.172,
BAV,Spirt,96,37.067559410604,9.682,14.97,7.310,26000,8258.171,8,49.772121259332, 9.67  <br>3.33/3.67/2.67,500,926,118.8505035,791.525,
KON,CristoRey,296,65.328737670411,23.145,36.22,0.000,40000,11688.341,37,67.282563465541, 7  <br>1.67/2.67/2.67,1200,3427,120.62045,590.395,
HAB,ElGatodeLeo,326,120.00509268207,43.498,41.74,12.460,74000,25784.679,26,101.0288076667, 7  <br>2/2.8/2.2,3500,2543,141.10645,3229.238,
JAP,DankKiri,310,81.921955734273,27.228,40.7025,0.160,44000,12013.806,36,79.488810629733, 9.18  <br>3.18/3.45/2.55,1800,2172,128.77525,798.014,
POL,Eipic,401,148.7680671492,44.026,74.60675,4.200,71000,18614.43,41,125.32371703851, 8  <br>2.5/3/2.5,2700,1890,136.1891,3235.306,
SWI,AdanH43,308,133.84336716134,30.126,76.18275,17.610,55000,17015.537,26,119.04299189233, 10.89  <br>4.33/2.89/3.67,5900,1259,133.42915,4302.289,
VIJ,Iberox,486,84.558557291815,29.674,41.7315,0.140,38000,21209.901,58,91.271390663862, 8.11  <br>3.11/2.11/2.89,5500,358,135.3271375,630.015,
NAP,BlackJack,179,55.681931343558,16.653,24.53,6.770,35000,15660.033,14,65.236188577111, 6.13  <br>1.88/2.13/2.13,600,2964,122.093125,1340.831,
FRA,JaviVizcaya,825,323.70128230171,82.238,151.84725,14.750,197000,54226.118,57,267.6773607854, 9.17  <br>3.17/2.83/3.17,13500,5332,140.657829,6221.642,
BNG,Dani Tejera,761,304.8760652559,76.508,163.175,5.260,103000,39660.48,72,271.14470335189, 7.1  <br>2.5/2.6/2,15600,2739,152.746446,5468.223,
SWE,333DaVa333,308,75.946641934484,30.107,36.04,3.600,49000,19595.102,42,77.813780021315, 8.38  <br>3/2.63/2.75,2100,3229,123.615625,5115.292,
HOL,undefined2,114,45.556503156428,14.734,19.53,26.980,23000,7991.595,8,55.810197522404, 9.43  <br>3.29/3.14/3,900,229,124.0567,594.812,
AYU,SoerpGNS,219,86.645581153566,21.821,34.1995,17.230,41000,17318.483,25,88.714126060366, 8.5  <br>3.83/2.67/2,3000,1171,138.7684165,1559.528,
MAJ,El truites,414,122.10666590151,43.582,82.192,0.540,50000,20719.019,43,106.89027156064, 10.75  <br>3.5/3.75/3.5,2400,2339,125.163362,1277.582,
ENG,Davidox3dxd,378,86.275870254646,52.399,45.0685,7.750,34000,28194.031,50,77.353152078112, 8.5  <br>3/3.25/2.25,2800,716,129.987064,2941.853,
POR,Carlos.Valdez,352,72.839493597046,41.816,35.641,20.320,28000,25267.331,36,76.578724183193, 8.14  <br>2.86/3/2.29,2400,3493,132.1835445,2398.043,
ETH,Rubense,466,137.75666566116,50.426,91.99775,2.090,74000,21867.9,78,117.66027942283, 6  <br>1.9/2.1/2,2700,1780,122.66015,6315.918,
MOS,(CX)Frankie,550,166.66384587154,42.542,91.66525,4.150,86000,31561.14,77,153.864643282, 8.67  <br>2.67/2.83/3.17,4400,884,135.6715015,4813.708,
HSA,Monster,191,53.282828809445,16.488,23.053,0.650,25000,11527.691,17,62.364381652473, 8.6  <br>2.8/2.2/3.6,1500,2184,127.8983225,103.117,
KOL,Kirebii,342,149.21379696269,40.214,84.42925,4.560,50000,18657.427,25,152.50818303752, 8.4  <br>3.4/3.2/1.8,9900,2781,149.652762,2062.862,
MLO,Gattamelata,500,150.9201784406,49.139,71.472,5.970,63000,25693.606,32,139.10323999365, 11.33  <br>3.44/4.22/3.67,5000,4830,143.9428075,5602.636,
CAS,Josedlosrioss,482,208.44767138199,59.379,112.4505,19.870,69000,38169.172,53,175.72518210389, 6.6  <br>2.4/2.2/2,8000,2051,143.739733,6379.408,
MUG,undefined3,591,143.7584230864,36.951,60.051,0.950,54000,50437.323,83,152.6692454875, 8.57  <br>2.71/2.57/3.29,5900,2333,145.871901,3585.531,
TUR,BERTUS,1621,614.53554881723,123.712,264.86915,67.790,200000,86175.315,183,595.27213912404, 14.33  <br>5.33/3.67/5.33,18000,5424,176.463458,11356.264,
