ZIM,undefined0,204,33.465602579995,21.265,20.96,0,22000,6392,28,42.017997978373, 7.25  <br>3.25/2.25/1.75,500,2418,111.34,2149.525,
ETH,Anka,438,79.75615237903,45.180,55.921,0,40000,10450,69,56.947934582679, 5.71  <br>2/2/1.71,1900,3537,111.34,1818.725,
HOL,KakyS,87,19.735843980482,11.227,11.32,8.350,16000,3344,5,37.999687544368, 7.75  <br>3/2.63/2.13,800,273,111.6045055,1055.013,
BRA,ElPsychoSK - Rio Negro,174,32.161980157687,14.186,22.05,0.670,18000,3558,20,46.181788849852, 7.6  <br>2.8/2.8/2,600,773,115.907185,258.39,
HAB,undefined1,305,69.376608693275,35.134,35.1155,1.300,93000,10107,26,48.100627483638, 6  <br>1.33/2.33/2.33,1200,1821,111.34,1286.808,
MOR,undefined2,286,51.188816688636,24.883,36.253,0.310,28000,7867,34,48.357250311254, 6.75  <br>1.75/2.75/2.25,1200,533,111.34,998.037,
MAM,undefined3,236,53.517679267516,17.033,38.2842,9.430,31000,16633,37,59.139388282301, 8.13  <br>2.5/2.75/2.88,800,0,121.580992,2471.701,
MAJ,Skram,187,45.786693270139,20.475,33.093,0,23000,3956,20,47.071447261218, 10.25  <br>3.5/3.25/3.5,100,0,111.34,763.506,
DLH,Maik,557,61.115132362535,39.017,43.4185,0.980,28000,12421,63,52.998752214667, 7  <br>3/1.33/2.67,4400,315,113.038732,1394.66,
FRA,coronairon,513,66.59073665461,30.648,42.626,6.744,49000,9548,43,50.054050088713, 5  <br>2/1/2,2500,376,111.34,1063.172,
AYU,Amondarain,286,55.043290458177,24.071,40.847,1.930,24000,13907,28,51.418460097301, 7.25  <br>2.75/2/2.5,1200,2081,112.3535125,2397.173,
POL,Pitulioh,385,64.073054738874,37.722,43.8875,29.788,35000,11791,41,53.616899785507, 8.5  <br>2.5/3/3,2600,1492,113.8838455,2176.153,
MOS,Flamenquin,377,63.582966639666,25.277,46.715,0.230,29000,8995,45,58.436880520258, 7.86  <br>2.14/3.14/2.57,1700,106,116.8577605,2129.384,
DAN,undefined4,197,37.987804948412,27.520,23.89,3.430,25000,9210,19,43.795783391486, 6.5  <br>2/2/2.5,2400,157,112.234726,922.015,
KOR,undefined5,200,43.836644288566,29.735,26.88,15.910,29000,8623,20,44.540756009015, 11.5  <br>4.25/3.5/3.75,1900,2146,111.34,1028.88,
HSA,Rubense,108,29.043470038259,21.833,17.62,1.370,21000,4215,13,40.69431097947, 11.25  <br>3/3.75/4.5,1300,142,111.7683685,667.765,
ENG,Toni,259,46.102056303254,26.376,32.0195,0.230,23000,9265,33,50.278829640337, 7  <br>2.75/3/1.25,1400,77,115.453018,1540.022,
CAS,Miki,342,66.219899491362,47.973,42.54,5.560,39000,9920,38,50.03501979886, 6.75  <br>2.25/2/2.5,2700,488,111.34,992.761,
POR,Frelleicito,291,40.535650457747,37.229,26.9845,10.010,18000,9813,32,44.558002772644, 7.67  <br>2.83/2.83/2,1100,796,111.34,1456.316,
MLO,CaptainKidd,164,35.138409685652,16.110,22.222,5.420,25000,4747,11,42.233249365719, 9.8  <br>3.2/3.4/3.2,700,190,111.34,434.901,
TUR,undefined6,500,84.376405740484,41.563,53.057,18.410,65000,23179,59,70.068497809325, 16  <br>6/4/6,2900,532,124.5997,1223.914,
TIM,BERTUS,451,41.221533064255,28.310,27.1,9.450,23000,8818,67,44.905083968233, 9.75  <br>3/3.25/3.5,1600,1180,111.575872,2074.114,
VIJ,(CX)Frankie,397,55.377534376812,25.287,39.065,1.740,32000,8761,45,50.303766539613, 6.33  <br>2.33/1.67/2.33,1700,697,112.7753605,664.977,
MCH,Stryder,871,99.764398216505,33.871,63.107,48.190,74000,14909,179,73.184333673629, 10.29  <br>2.86/3.29/4.14,2100,1898,124.623352,984.58,
